name,temperature,luminosity,spectral_type,distance,magnitude
"Sun",5778,1,"G2V",0.0000158,-26.74
"Sirius A",9940,25.4,"A1V",8.6,-1.46
"Sirius B",25200,0.056,"DA2",8.6,8.44
"Betelgeuse",3500,126000,"M2Iab",640,0.5
"Rigel",12100,120000,"B8Iae",860,0.13
"Proxima Centauri",3042,0.0017,"M6V",4.24,11.13
"Alpha Centauri A",5790,1.519,"G2V",4.37,-0.01
"Alpha Centauri B",5260,0.5,"K1V",4.37,1.33
"Vega",9602,40.12,"A0V",25,0.03
"Arcturus",4286,170,"K1.5III",36.7,-0.05
"Capella",4970,78.7,"G3III",42.8,0.08
"Aldebaran",3910,518,"K5III",65,0.85
"Antares",3500,75900,"M1.5Iab",550,1.06
"Spica",22400,12100,"B1III-IV",250,0.98
"Pollux",4666,43,"K0III",33.7,1.14
"Deneb",8525,196000,"A2Ia",2600,1.25
"Polaris",6015,2500,"F7Ib",433,1.97
"HD 752106",19279,8.197196,"B1V",812.2,9.39
"HD 285344",7083,0.00243,"F4V",377.4,16.69
"HD 406807",5888,0.001716,"G5V",497.8,17.7
"HD 606323",8373,0.005985,"DA6",845.5,17.37
"HIP 32134",4150,465.36877,"K5III",181.2,1.77
"HD 621072",4146,0.000318,"K8V",930.1,20.76
"TYC 3403-997-1",12158,22089.652568,"B0Ib",56.9,-3
"HD 916988",9090,0.010467,"A0V",16.2,8.29
"WD 8666+447",12701,0.000914,"DA3",449,18.24
"WD 2806+562",19646,0.000202,"DA2",743.3,20.77
"HD 900704",3122,0.000215,"M7V",329.4,19.23
"HD 883737",2585,0.00023,"M9V",290.7,18.54
"WD 8777+780",7550,0.000816,"A7V",796,19.41
"HD 853959",9874,0.008537,"DA5",963.3,17.43
"HIP 40029",3481,88.297838,"M0IV",645.9,6.19
"HD 726914",10737,0.028894,"B8V",668.6,15.28
"HD 245249",20170,13.834104,"B1IV",771.5,8.63
"TYC 3171-424-1",18353,88318.641429,"B8Ia",586.8,-1.36
"HD 658840",11560,0.062136,"B1V",527.7,13.98
"WD 9695+475",8083,0.001793,"DA6",465.2,17.69
"HD 780620",7988,0.007663,"A1V",901.4,17.17
"HD 198183",15921,1.45836,"B9V",888.8,11.33
"HD 889585",25144,777.723768,"B8III",701.8,4.38
"HD 403950",25339,381.968803,"B9III",938.3,5.9
"HD 131914",3351,0.000206,"M4V",935.4,21.47
"HD 412023",7670,0.001506,"A2V",578.9,18.09
"HD 930136",30665,7244.633161,"O5III",663.2,1.69
"HD 523845",19828,11.942195,"B5IV",767,8.9
"HIP 54058",4100,302.336967,"K0III",161.3,2.09
"HD 391568",19600,18.655371,"B6IV",733.3,8.25
"HIP 58207",4272,1643.054779,"K7III",942.6,4.02
"HD 428721",7451,0.005955,"F3V",910.4,17.68
"HD 581322",3356,0.000494,"M1V",804.7,20.09
"HIP 84027",4654,102.928994,"K1III",812.9,6.75
"HD 158140",16473,0.572092,"B9V",666.7,12.21
"HIP 94791",3437,68.179958,"M4IV",335.1,5.26
"HD 127433",3167,0.000139,"M2V",866.7,21.54
"HIP 95427",5107,457.637718,"K5III",581.3,4.45
"HD 102152",11856,0.045851,"B4V",152.1,11.62
"HD 395881",15395,0.246623,"B7V",377.2,11.66
"HD 894997",11899,0.018809,"B7V",830.5,16.23
"WD 9663+881",7895,0.00049,"A9V",470,19.08
"HD 258946",10792,0.010198,"B1V",142,13.26
"HD 323650",21083,28.124779,"B2IV",215.2,5.15
"HD 342741",6475,0.00173,"F1V",981.8,19.24
"HIP 93817",4261,203.41388,"K0III",445,4.71
"HD 905633",24514,474.97453,"B6III",500.6,4.3
"HD 496151",8726,0.005781,"DA5",372.2,15.68
"HD 458023",4833,0.000886,"K8V",744.1,19.38
"HD 164046",29455,6585.435453,"B3III",796.7,2.41
"HIP 109712",3744,73.088475,"K3IV",537.8,6.4
"HD 397932",3423,0.000255,"M5V",196.5,17.86
"HD 731032",6844,0.000746,"F3V",990.3,19.93
"WD 5260+735",17405,0.000919,"DA2",535.1,18.37
"HD 259108",5089,0.000414,"K6V",883.1,20.56
